Cuenca o Litoral;Departamento;Municipio;Sitio de desembarco...10;Tipo de unidad;Especie;Peso_total_inf;Peso_total_sup;Precio_x_Kg_inf;Precio_x_Kg_sup;Numero_individuos_inf;Numero_individuos_sup;kg_ind_inf;kg_ind_sup
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Arapaima gigas;19,5545;109,304;6300;19500;1,4;6,5;7,17955;33,592
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Brachyplatystoma filamentosum;10,388;82,472;6300;19500;0,7;6,5;4,515;23,8472
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Brachyplatystoma juruense;14,686;55,822;4900;12610;8,47;30,94;1,190689394;2,487825758
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Brachyplatystoma platynemum;7,84;38,7205;5285;13000;1,4;16,445;2,056504545;7,7025
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Brachyplatystoma rousseauxii;10,1395;77,8635;6300;19500;0,7;7,8;5,635;20,97766667
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Brachyplatystoma vaillantii;18,669;84,1945;4900;10205;10,535;53,04;0,959897059;2,394785714
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Brycon amazonicus;11,34;60,216;5600;13000;20,86;112,84;0,312259245;0,779505848
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Brycon melanopterus;11,7845;54,015;4900;13000;27,475;158,21;0,203277986;0,570154181
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Cichla monoculus;12,88;23,92;7000;13000;22,4;41,6;0,4025;0,7475
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Colossoma macropomum;13,02;71,903;6300;19500;3,5;24,245;1,913582888;6,5169
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Leiarius marmoratus;10,878;73,918;4900;13000;7,42;35,36;1,064892157;3,015788043
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Leporinus friderici;25,41;47,19;5600;10400;54,6;101,4;0,325769231;0,605
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Myloplus asterias;9,31;17,29;7000;13000;30,1;55,9;0,216511628;0,402093023
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Mylossoma aureum;17,85;43,797;5600;10400;36,4;109,72;0,279479895;0,6975
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Osteoglossum bicirrhosum;14,21;26,39;7000;13000;7,7;14,3;1,291818182;2,399090909
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Phractocephalus hemioliopterus;9,212;46,8195;2800;11700;1,365;5,33;3,545208333;17,26075
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Piaractus brachypomus;14,672;46,748;5600;13000;9,8;30,94;1,01632;2,459639098
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Pimelodus blochii;9,016;29,38;4900;10270;28,63;110,5;0,18684953;0,410551724
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Pinirampus pirinampu;17,5525;75,4;4900;13000;9,8;51,35;1,01955814;2,6
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Platynematichthys notatus;18,8335;51,4735;5005;12805;10,01;25,61;1,315025;2,610167857
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Prochilodus nigricans;21,5495;51,3695;4935;10335;39,2;96,2;0,373948485;0,715039394
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Pseudoplatystoma punctifer;9,94;85,215;4900;16900;2,1;29,9;1,354769231;8,504785714
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Pseudoplatystoma tigrinum;7,9625;46,4425;5600;16900;1,4;11,7;2,338777778;8,8101
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Zungaro zungaro;10,206;67,08;6300;16900;0,7;5,2;4,6375;23,452
Amazonía;Amazonas;La Pedrera;La Pedrera;UEP;Arapaima gigas;24,318;234,182;6300;18720;1,4;10,4;6,0375;37,57
Amazonía;Amazonas;La Pedrera;La Pedrera;UEP;Astronotus ocellatus;10,346;28,106;4900;9100;25,34;61,1;0,27394152;0,600347222
Amazonía;Amazonas;La Pedrera;La Pedrera;UEP;Brachyplatystoma filamentosum;9,94;95,355;6300;19500;0,7;7,8;5,244166667;23,595
Amazonía;Amazonas;La Pedrera;La Pedrera;UEP;Brachyplatystoma juruense;8,778;57,447;4900;13000;3,99;27,04;1,087545455;5,000914286
Amazonía;Amazonas;La Pedrera;La Pedrera;UEP;Brachyplatystoma platynemum;5,292;68,224;4900;15340;0,7;34,58;1,177615385;9,165
Amazonía;Amazonas;La Pedrera;La Pedrera;UEP;Brachyplatystoma rousseauxii;9,3975;95,6475;6300;19500;0,7;7,8;5,25875;23,375625
Amazonía;Amazonas;La Pedrera;La Pedrera;UEP;Brachyplatystoma tigrinum;12,964;36,244;5005;12805;3,15;17,55;1,5065;5,689357143
Amazonía;Amazonas;La Pedrera;La Pedrera;UEP;Brachyplatystoma vaillantii;12,88;94,3475;4900;13000;8,33;56,03;0,973449013;2,552358124
Amazonía;Amazonas;La Pedrera;La Pedrera;UEP;Brycon amazonicus;11,452;86,086;5600;16900;19,95;131,625;0,298114035;0,934375
Amazonía;Amazonas;La Pedrera;La Pedrera;UEP;Brycon melanopterus;8,82;55,12;4900;13000;19,53;124,93;0,221755538;0,685990148
Amazonía;Amazonas;La Pedrera;La Pedrera;UEP;Calophysus macropterus;11,48;45,799;4900;13000;9,94;48,23;0,563929825;2,051666667
Amazonía;Amazonas;La Pedrera;La Pedrera;UEP;Cichla monoculus;8,876;46,891;4900;13000;16,8;71,76;0,296844553;1,019005168
Amazonía;Amazonas;La Pedrera;La Pedrera;UEP;Colossoma macropomum;8,6415;78,3315;6300;19500;2,1;22,1;1,839833333;7,25075
Amazonía;Amazonas;La Pedrera;La Pedrera;UEP;Hypophthalmus edentatus;8,68;16,12;7000;13000;7,7;14,3;0,789090909;1,465454545
Amazonía;Amazonas;La Pedrera;La Pedrera;UEP;Leiarius marmoratus;11,389;80,938;4900;13000;6,3;44,98;1,108275;3,142060606
Amazonía;Amazonas;La Pedrera;La Pedrera;UEP;Leporinus agassizii;16,45;30,55;5600;10400;46,9;87,1;0,245522388;0,455970149
Amazonía;Amazonas;La Pedrera;La Pedrera;UEP;Leporinus friderici;9,065;35,9775;4900;13000;16,625;94,25;0,252672101;0,757797965
Amazonía;Amazonas;La Pedrera;La Pedrera;UEP;Myloplus asterias;6,4575;34,84;4900;13000;16,45;103,35;0,180893971;0,646697297
Amazonía;Amazonas;La Pedrera;La Pedrera;UEP;Myloplus schomburgkii;9,1805;44,5315;4900;10205;26,46;89,7;0,242229167;0,641513889
Amazonía;Amazonas;La Pedrera;La Pedrera;UEP;Mylossoma aureum;8,05;47,268;4900;13000;15,4;106,34;0,244668652;0,797090389
Amazonía;Amazonas;La Pedrera;La Pedrera;UEP;Phractocephalus hemioliopterus;7,84;69,082;2800;9100;0,7;6,5;4,218375;15,11206667
Amazonía;Amazonas;La Pedrera;La Pedrera;UEP;Piaractus brachypomus;9,66;57,6225;4900;13000;6,3;59,8;0,444195076;2,499359244
Amazonía;Amazonas;La Pedrera;La Pedrera;UEP;Pimelodus blochii;10,1325;44,005;4900;13000;35;239,85;0,135606971;0,418497368
Amazonía;Amazonas;La Pedrera;La Pedrera;UEP;Pinirampus pirinampu;13,0375;99,125;4900;13000;8,225;52,325;0,956003788;2,757083333
Amazonía;Amazonas;La Pedrera;La Pedrera;UEP;Plagioscion squamosissimus;8,54;15,86;7000;13000;16,1;29,9;0,371304348;0,689565217
Amazonía;Amazonas;La Pedrera;La Pedrera;UEP;Platynematichthys notatus;12,999;82,368;4900;13000;7,14;46,54;1,0605;3,110058824
Amazonía;Amazonas;La Pedrera;La Pedrera;UEP;Prochilodus nigricans;9,387;66,144;4900;13000;14,56;110,63;0,276783784;0,883489274
Amazonía;Amazonas;La Pedrera;La Pedrera;UEP;Pseudoplatystoma punctifer;9,401;84,851;4900;16900;2,1;32,5;1,425362319;9,289583333
Amazonía;Amazonas;La Pedrera;La Pedrera;UEP;Pseudoplatystoma tigrinum;7,938;73,671;5600;16900;1,4;12,09;2,4675;10,127
Amazonía;Amazonas;La Pedrera;La Pedrera;UEP;Zungaro zungaro;11,025;77,1225;6300;19500;0,7;6,695;5,331666667;21,3785
Amazonía;Amazonas;Leticia;Bodegas (Leticia);MA;Ageneiosus inermis;8,4;1567,02;1750;15600;;;;
Amazonía;Amazonas;Leticia;Bodegas (Leticia);MA;Aguarunichthys inpai;10,22;780;6300;22100;;;;
Amazonía;Amazonas;Leticia;Bodegas (Leticia);MA;Arapaima gigas;77,42;6500;4900;18200;;;;
Amazonía;Amazonas;Leticia;Bodegas (Leticia);MA;Astronotus ocellatus;227,045;710,775;3500;10400;;;;
Amazonía;Amazonas;Leticia;Bodegas (Leticia);MA;Brachyplatystoma filamentosum;7,7;3255,85;7700;15600;0,7;1,3;7;53,95
Amazonía;Amazonas;Leticia;Bodegas (Leticia);MA;Brachyplatystoma juruense;42;1352;6300;16900;;;;
Amazonía;Amazonas;Leticia;Bodegas (Leticia);MA;Brachyplatystoma platynemum;10,5;1950;5250;16900;;;;
Amazonía;Amazonas;Leticia;Bodegas (Leticia);MA;Brachyplatystoma rousseauxii;12,6;2600;8400;21450;0,7;1,3;6,685;25,285
Amazonía;Amazonas;Leticia;Bodegas (Leticia);MA;Brachyplatystoma tigrinum;20,615;650;4550;17907,5;;;;
Amazonía;Amazonas;Leticia;Bodegas (Leticia);MA;Brachyplatystoma vaillantii;10,5;2600;2800;15600;;;;
Amazonía;Amazonas;Leticia;Bodegas (Leticia);MA;Brycon amazonicus;130,9;3445;5600;13000;;;;
Amazonía;Amazonas;Leticia;Bodegas (Leticia);MA;Brycon melanopterus;350;650;5600;10400;;;;
Amazonía;Amazonas;Leticia;Bodegas (Leticia);MA;Calophysus macropterus;70;1300;6300;11700;;;;
Amazonía;Amazonas;Leticia;Bodegas (Leticia);MA;Cichla monoculus;294;1114,75;5600;13000;;;;
Amazonía;Amazonas;Leticia;Bodegas (Leticia);MA;Colossoma macropomum;10,85;2060,5;5600;18200;;;;
Amazonía;Amazonas;Leticia;Bodegas (Leticia);MA;Crenicichla lenticulata;5,88;652,99;4200;17615;;;;
Amazonía;Amazonas;Leticia;Bodegas (Leticia);MA;Hypophthalmus edentatus;206,5;13910;1610;10400;;;;
Amazonía;Amazonas;Leticia;Bodegas (Leticia);MA;Hypophthalmus marginatus;9,38;12554,75;2345;18200;;;;
Amazonía;Amazonas;Leticia;Bodegas (Leticia);MA;Hypostomus niceforoi;212,8;395,2;4200;7800;;;;
Amazonía;Amazonas;Leticia;Bodegas (Leticia);MA;Leiarius marmoratus;7,7;1641,445;6300;16900;;;;
Amazonía;Amazonas;Leticia;Bodegas (Leticia);MA;Mylossoma albiscopum;112,35;25480;1750;15600;;;;
Amazonía;Amazonas;Leticia;Bodegas (Leticia);MA;Phractocephalus hemioliopterus;9,1;1950;2800;16900;0,7;1,3;4,9;22,035
Amazonía;Amazonas;Leticia;Bodegas (Leticia);MA;Piaractus brachypomus;288,33;5200;3500;10588,5;;;;
Amazonía;Amazonas;Leticia;Bodegas (Leticia);MA;Pimelodina flavipinnis;0,84;6,24;5600;10400;;;;
Amazonía;Amazonas;Leticia;Bodegas (Leticia);MA;Pimelodus blochii;80,5;653,25;1750;3412,5;;;;
Amazonía;Amazonas;Leticia;Bodegas (Leticia);MA;Pinirampus pirinampu;11,9;1979,25;3500;15600;;;;
Amazonía;Amazonas;Leticia;Bodegas (Leticia);MA;Plagioscion squamosissimus;8,12;778,7;3622,5;18200;;;;
Amazonía;Amazonas;Leticia;Bodegas (Leticia);MA;Platystomatichthys sturio;2,38;1046,5;1750;15600;;;;
Amazonía;Amazonas;Leticia;Bodegas (Leticia);MA;Prochilodus nigricans;350;1300;1750;14300;;;;
Amazonía;Amazonas;Leticia;Bodegas (Leticia);MA;Prochilodus rubrotaeniatus;85,75;6500;1750;15600;;;;
Amazonía;Amazonas;Leticia;Bodegas (Leticia);MA;Pseudoplatystoma punctifer;11,2;3516,5;7000;16900;0,7;1,3;3,92;23,14
Amazonía;Amazonas;Leticia;Bodegas (Leticia);MA;Pseudoplatystoma tigrinum;31,5;7800;7000;16900;0,7;1,3;4,9;9,1
Amazonía;Amazonas;Leticia;Bodegas (Leticia);MA;Pterygoplichthys pardalis;70;1070,55;1750;7897,5;;;;
Amazonía;Amazonas;Leticia;Bodegas (Leticia);MA;Rhaphiodon vulpinus;16,1;29,9;4550;8450;;;;
Amazonía;Amazonas;Leticia;Bodegas (Leticia);MA;Sorubim lima;16,555;304,265;1750;16900;;;;
Amazonía;Amazonas;Leticia;Bodegas (Leticia);MA;Sorubimichthys planiceps;10,745;650;5617,5;16900;;;;
Amazonía;Amazonas;Leticia;Bodegas (Leticia);MA;Triportheus angulatus;24,045;76,245;8400;15600;;;;
Amazonía;Amazonas;Leticia;Bodegas (Leticia);MA;Zungaro zungaro;11,2;2392,91;3500;16900;0,91;8,71;10,145;53,77357143
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Ageneiosus inermis;1,6205;68,38;3500;9750;3,745;46,215;0,157986111;1,602611111
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Aguarunichthys inpai;2,506;30,94;5250;15275;6,3;11,7;1,12;2,08
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Anodus elongatus;17,64;32,76;3990;7410;168;312;0,0735;0,1365
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Arapaima gigas;28,749;417,69;6300;26000;0,7;6,5;19,4775;117
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Astronotus ocellatus;4,5535;65,949;7000;20579;10,22;173,745;0,165298484;0,6461
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Brachyplatystoma filamentosum;14,07;26,13;7000;13000;0,7;1,3;14,07;26,13
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Brachyplatystoma juruense;1,4735;24,921;4693,5;16185;0,7;21,84;0,5376;3,64
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Brachyplatystoma platynemum;1,47;69,238;5166;16250;0,7;31,2;0,541625;4,5695
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Brachyplatystoma rousseauxii;6,965;130;7700;29900;0,7;7,8;3,521;26,104
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Brachyplatystoma tigrinum;1,12;29,25;4550;9750;0,7;24,375;0,726666667;3,003
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Brachyplatystoma vaillantii;2,191;81,783;3990;14937;1,225;88,725;0,328777778;2,9575
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Brycon amazonicus;8,4175;241,8;5600;26000;3,255;146,25;0,17079072;1,916793478
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Brycon melanopterus;5,887;123,721;5250;13000;11,025;181,935;0,159340741;0,399682292
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Calophysus macropterus;1,61;59,085;5250;11375;5,74;15,34;0,2375625;0,4850625
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Chaetobranchus flavescens;12,74;23,66;6720;12480;;;;
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Chaetobranchus semifasciatus;1,897;56,849;4725;16263;6,3;120,9;0,135821429;0,64675
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Chalceus erythrurus;4,76;8,84;3500;6500;25,2;46,8;0,132222222;0,245555556
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Cichla monoculus;6,503;254,8;6090;20709;3,71;110,5;0,295321429;2,323953125
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Cichla orinocensis;9,499;40,339;6720;12480;8,19;148,59;0,250833333;2,610833333
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Colossoma macropomum;7;260;7000;26000;0,7;58,825;0,502833333;22,1
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Crenicichla lenticulata;5,964;28,652;5754;17186;7,14;54,86;0,3588;1,529666667
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Heros severus;11,97;62,205;3500;9750;91,7;240,5;0,113494598;0,23335497
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Hoplerythrinus unitaeniatus;4,76;65,234;4830;14144;16,87;218,66;0,156490385;0,504020833
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Hoplias malabaricus;4,179;65,1625;3773;13000;5,81;170,04;0,176859375;0,860166667
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Hoplosternum littorale;2,156;44,057;2989;12532;14;443,3;0,07;0,51025
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Hydrolycus scomberoides;5,18;93,6;2870;16250;4,41;152,1;0,3228;0,963320635
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Hypophthalmus edentatus;1,575;36,92;4200;15730;2,1;121,42;0,198337736;1,219833333
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Hypophthalmus marginatus;2,135;60,32;4200;15470;3,01;171,6;0,137645455;1,0985
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Hypostomus niceforoi;10,8675;148,785;2047,5;11992,5;45,71;790,14;0,07637;0,279333333
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Leiarius marmoratus;2,38;61,165;5250;15925;2,1;35,49;0,455;2,457
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Leporinus agassizii;7,756;63,193;7175;16250;29,995;403,195;0,120923077;0,486857143
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Leporinus fasciatus;8,232;29,601;5250;12512,5;;;;
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Lithodoras dorsalis;2,73;52,533;4529;9750;0,7;15,08;1,82984375;9,09675
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Megaleporinus trifasciatus;1,6765;195,104;5250;13136,5;53,97;102,57;0,217108746;0,428109896
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Megalodoras uranoscopus;1,7675;39;3412,5;13000;0,7;5,2;1,6205;11,7065
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Metynnis lippincottianus;12,5195;130,5395;2649,5;9249,5;60,55;498,55;0,1355375;0,3365375
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Myloplus asterias;14,5495;38,3695;5267,5;10367,5;59,5;110,5;0,167176471;0,310470588
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Myloplus rubripinnis;14,525;40,9435;5250;9750;;;;
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Mylossoma albiscopum;7,287;130;3787;16250;28;458,25;0,084;0,372894737
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Mylossoma aureum;9,891;45,6495;5302,5;12668,5;54,6;101,4;0,123846154;0,23
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Osteoglossum bicirrhosum;1,925;136,2725;5250;18915;1,4;22,23;0,397833333;5,174
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Oxydoras niger;2,065;33,1175;3500;9750;0,7;9,23;0,464625;10,881
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Pellona castelnaeana;2,618;67,0995;5250;21216;0,7;33,67;0,87040625;5,33
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Pellona flavipinnis;1,302;22,6564;5250;20540;0,7;20,8;0,63;3,302
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Phractocephalus hemioliopterus;1,162;64,506;3080;9750;0,7;1,3;1,092;3,5425
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Piaractus brachypomus;3,5;195;3500;23400;0,7;58,5;0,392;7,254
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Pimelodina flavipinnis;3,2375;28,392;3412,5;12701;8,05;56,94;0,26915;0,6461
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Pimelodus blochii;3,92;54,73;3500;16250;18,69;407,94;0,070369091;0,2964
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Pinirampus pirinampu;1,8235;54,938;3500;16250;1,4;49,66;0,388973958;2,21
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Plagioscion squamosissimus;1,96;94,25;5005;16607,5;0,7;46,475;0,382083333;4,5565
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Platynematichthys notatus;4,025;41,6;3829;16250;3,675;26;0,427;2,524166667
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Platystomatichthys sturio;4,2245;40,6185;3500;9750;;;;
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Potamorhina altamazonica;7,8435;105,3975;2709;12246;36,26;656,5;0,073851902;0,31330452
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Potamorhina pristigaster;14,175;66,95;3447,5;8645;210;390;0,121333333;0,225333333
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Prochilodus nigricans;13,58;195;4007,5;13845;25,2;585;0,126;0,65
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Prochilodus rubrotaeniatus;7,4375;170,95;3500;16250;16,8;514,8;0,118746606;0,52
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Psectrogaster amazonica;12,558;78;2985,5;9750;50,82;277,875;0,11445;0,276423333
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Psectrogaster rhomboides;9,9155;50,3555;3500;6500;;;;
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Pseudoplatystoma punctifer;2,058;85,774;5264;19708;0,7;26;0,671461538;4,992
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Pseudoplatystoma tigrinum;1,33;73,4305;5250;19519,5;0,7;19,5;0,653333333;4,862
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Pterodoras granulosus;2,38;65,8775;3500;9750;0,7;42,64;0,414130294;7,449
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Pterygoplichthys pardalis;8,652;102,999;2800;9750;35;515,645;0,0875;0,490605556
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Pygocentrus nattereri;1,5225;65,39;3762,5;15502,5;4,2;140,4;0,127847222;0,585
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Rhaphiodon vulpinus;9,002;92,8915;3713,5;12317,5;3,85;419,25;0,171977273;0,985833333
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Rhytiodus sp. 1;3,192;14,352;5250;9750;;;;
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Schizodon fasciatus;7,854;91,039;4438;16406;14,595;209,235;0,151371993;0,635839286
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Semaprochilodus insignis;10,99;163,15;4879;13000;29,12;353,6;0,142107071;0,4095
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Serrasalmus spp.;1,54;2,86;5250;9750;;;;
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Sorubim lima;2,562;39,585;3892;13364;6,86;126,62;0,146878472;0,743321429
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Sorubimichthys planiceps;1,26;32,968;5082;18850;0,7;8,97;0,91;6,7535
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Triportheus angulatus;6,3525;78,0325;2975;11895;42;546;0,056;0,224421053
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);PM;Zungaro zungaro;0,784;29,653;3500;13884;0,7;3,9;0,7;6,5
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);UEP;Ageneiosus inermis;2,17;28,925;4347;13000;2,8;46,28;0,269266667;1,0335
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);UEP;Aguarunichthys inpai;2,135;25,935;7000;16250;2,1;3,9;0,702333333;1,382333333
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);UEP;Anodus elongatus;12,6;23,4;3990;7410;126;234;0,07;0,13
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);UEP;Arapaima gigas;84;156;7000;13000;1,4;2,6;42;78
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);UEP;Astronotus ocellatus;3,101;48,75;6671;20254;10,115;154,505;0,152322917;0,65
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);UEP;Brachyplatystoma juruense;1,862;21,84;3542;14924;0,7;15,6;0,475125;3,8805
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);UEP;Brachyplatystoma platynemum;1,3755;34,554;4130;16250;0,7;31,2;0,427933333;3,874
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);UEP;Brachyplatystoma rousseauxii;2,8;14,56;8466,5;17946,5;0,7;1,3;2,8;14,56
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);UEP;Brachyplatystoma tigrinum;5,7253;19,0333;5334;10374;25,2;46,8;0,291666667;0,541666667
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);UEP;Brachyplatystoma vaillantii;5,39;77,22;3640;14950;3,535;78;0,350583333;3,367
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);UEP;Brycon amazonicus;3,64;54,34;7000;27300;6,65;78;0,253020833;1,43
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);UEP;Brycon melanopterus;3,514;32,37;6300;17134;13,02;150,93;0,1158;0,8604375
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);UEP;Calophysus macropterus;5,80195;50,83;3696;11043,5;9,52;202,28;0,207768116;0,962
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);UEP;Chaetobranchus flavescens;5,859;26,793;6006;14898;;;;
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);UEP;Chaetobranchus semifasciatus;1,4385;39,1235;4987,5;15697,5;5,25;205,725;0,0800625;0,524178571
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);UEP;Cichla monoculus;1,603;44,9085;6247,5;22490;0,875;80,925;0,14175;2,71375
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);UEP;Cichla orinocensis;17,64;32,76;8750;16250;4,9;9,1;2,52;4,68
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);UEP;Colossoma macropomum;1,33;65;3500;20800;0,7;75,66;0,208833333;5,083
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);UEP;Crenicichla lenticulata;1,96;22,0025;4567,5;14300;3,5;37,05;0,276354167;1,37
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);UEP;Hoplerythrinus unitaeniatus;4,6095;47,268;3468,5;12480;16,24;117;0,159472727;0,476666667
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);UEP;Hoplias malabaricus;2,3905;45,76;3160,5;13520;4,2;110,5;0,182;0,858
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);UEP;Hoplosternum littorale;1,4665;20,4945;2964,5;12480;10,29;167,7;0,049;0,241337121
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);UEP;Hydrolycus scomberoides;2,24;81,12;2688;13559;4,2;141,18;0,192208333;1,010471429
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);UEP;Hypophthalmus edentatus;7,6265;46,098;4665,5;12532;18,55;107,9;0,124871429;0,90935
